id;nombre;desarrollador;jugadores;genero;PEGI;plataforma;ano_salida;descripcion
126;"Fallout: New Vegas";"Obsidian Entertainment";1-1;RPG;18;PC, PS3, Xbox;2010;"Embárcate en un viaje por el yermo postapocalíptico, toma decisiones que afectan la historia y descubre secretos en este juego de rol de la serie Fallout."
127;"Minecraft";"Mojang Studios";1-4;Sandbox, Aventura;7;PC, PS4, Xbox, Switch;2011;"Crea y explora mundos infinitos, construye estructuras y sobrevive en este juego de sandbox que ha cautivado a jugadores de todas las edades."
128;"League of Legends";"Riot Games";1-10;MOBA;12;PC;2009;"Participa en emocionantes batallas en línea, elige entre una variedad de campeones y trabaja en equipo para destruir el Nexo en este popular juego MOBA."
129;"Star Wars Jedi: Fallen Order";"Respawn Entertainment";1-1;Acción-Aventura;16;PC, PS4, PS5, Xbox, Xbox Series X/S;2019;"Embárcate en una historia de Star Wars, utiliza la Fuerza, resuelve acertijos y lucha contra enemigos en este juego de acción y aventuras."
130;"Apex Legends";"Respawn Entertainment";1-60;Battle Royale;16;PC, PS4, PS5, Xbox, Xbox Series X/S;2019;"Forma un equipo de leyendas, utiliza habilidades únicas y compite en intensas partidas de Battle Royale en este juego de disparos en primera persona."
131;"The Witcher 2: Wild Hunt";"CD Projekt";1-1;RPG;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2015;"Embárcate en una épica búsqueda, caza monstruos, toma decisiones morales y descubre el mundo de Geralt de Rivia en este juego de rol aclamado."
132;"Final Fantasy VII Remake";"Square Enix";1-1;RPG;16;PS4, PS5;2020;"Revive la épica historia de Cloud Strife, lucha contra Shinra y descubre los misterios de Midgar en esta reimaginación del clásico RPG japonés."
133;"Among Us";"Innersloth";4-10;Multijugador, Party;7;PC, Android, iOS;2018;"Descubre al impostor en tu tripulación espacial, completa tareas y debate en este juego de deducción social que se ha vuelto tremendamente popular."
134;"Fortnite";"Epic Games";1-100;Battle Royale;12;PC, PS4, PS5, Xbox, Xbox Series X/S;2017;"Sobrevive en un mundo lleno de construcciones, participa en eventos en línea y personaliza tu avatar en este juego de Battle Royale con elementos de construcción."
135;"Mortal Kombat 11";"NetherRealm Studios";1-2;Lucha;18;PC, PS4, PS5, Xbox, Xbox Series X/S;2019;"Enfréntate en brutalidad en el torneo Mortal Kombat, lucha con una variedad de personajes y disfruta de la narrativa en este juego de lucha."
136;"World of Warcraft: Shadowlands";"Blizzard Entertainment";1-40;MMORPG;12;PC;2020;"Explora el reino de las sombras, enfrenta nuevas amenazas y participa en mazmorras y raids en la última expansión de este popular MMORPG."
137;"Sea of Thieves";"Rare";1-4;Aventura, Piratas;12;PC, Xbox;2018;"Navega en mares abiertos, busca tesoros, enfrenta esqueletos y vive la vida de un pirata en este juego de aventuras y mundo abierto."
138;"Genshin Impact";"miHoYo";1-4;Action RPG;12;PC, PS4, Android, iOS;2020;"Explora el mundo de Teyvat, desbloquea personajes con habilidades únicas y completa misiones en este juego de acción y aventuras de mundo abierto."
139;"Valorant";"Riot Games";1-5;FPS, Estrategia;16;PC;2020;"Participa en partidas tácticas 5v5, elige agentes con habilidades especiales y compite en este juego de disparos en primera persona centrado en el juego estratégico."
140;"Fall Guys: Ultimate Knockout";"Mediatonic";1-60;Battle Royale;7;PC, PS4, Xbox, Switch;2020;"Compite en desafíos divertidos y caóticos con otros jugadores, supera obstáculos y sé el último en pie en este juego de Battle Royale con un enfoque divertido y colorido."
141;"Deathloop";"Arkane Studios";1-1;FPS, Aventura;18;PC, PS5;2021;"Vive un bucle temporal, asume el papel de Colt y enfrenta a enemigos en este juego de acción y aventuras con un estilo único."
142;"Returnal";"Housemarque";1-1;Shooter, Aventura;16;PS5;2021;"Explora un planeta alienígena en constante cambio, enfrenta a criaturas extrañas y desentraña la historia de Selene en este juego de disparos en tercera persona."
143;"Kena: Bridge of Spirits";"Ember Lab";1-1;Acción-Aventura;7;PC, PS4, PS5;2021;"Embárcate en una búsqueda mágica, descubre antiguos secretos y enfrenta a espíritus corruptos en este juego de acción y aventuras."
144;"Chicory: A Colorful Tale";"Greg Lobanov";1-2;Aventura, Indie;3;PC, PS4, PS5;2021;"Sumérgete en un mundo sin color, utiliza un pincel mágico y devuelve la vida y el color a este encantador juego de aventuras y pintura."
145;"Little Nightmares II";"Tarsier Studios";1-1;Aventura, Horror;16;PC, PS4, PS5, Xbox, Switch;2021;"Acompaña a Mono y Six en una escalofriante aventura, resuelve acertijos y enfrenta a horrores en este juego de terror y plataformas."
146;"Hitman 3";"IO Interactive";1-1;Acción, Sigilo;18;PC, PS4, PS5, Xbox, Switch;2021;"Conviértete en el Agente 47, viaja por el mundo y completa misiones de asesinato en este juego de sigilo y acción."
147;"Ratchet & Clank: Rift Apart";"Insomniac Games";1-1;Acción, Plataformas;7;PS5;2021;"Explora dimensiones alternativas, utiliza armas extravagantes y vive una emocionante aventura con Ratchet y su robot amigo Clank."
148;"New Pokémon Snap";"Bandai Namco Studios";1-1;Simulación, Fotografía;7;Switch;2021;"Embárcate en una expedición fotográfica, captura imágenes de Pokémon en su hábitat natural y completa tu Pokédex fotográfico."
149;"Outriders";"People Can Fly";1-3;Shooter, RPG;18;PC, PS4, PS5, Xbox;2021;"Explora un planeta hostil, utiliza habilidades únicas y lucha contra enemigos en este juego de disparos cooperativo y de rol."
150;"Mass Effect Legendary Edition";"BioWare";1-1;RPG, Acción;16;PC, PS4, Xbox;2021;"Revive la trilogía épica de Mass Effect, toma decisiones impactantes y salva la galaxia en esta edición remasterizada de la icónica serie de juegos de rol."
151;"Cyber Shadow";"Mechanical Head Studios";1-1;Acción, Indie;12;PC, PS4, Xbox, Switch;2021;"Embárcate en un viaje ninja, enfrenta a enemigos mecánicos y descubre la verdad detrás de la destrucción en este juego de acción y plataformas."
152;"The Medium";"Bloober Team";1-1;Horror, Aventura;18;PC, Xbox;2021;"Explora dos dimensiones simultáneamente, resuelve acertijos y enfrenta horrores en este juego de terror psicológico con una mecánica única."
153;"Yakuza: Like a Dragon";"Ryu Ga Gotoku Studio";1-1;RPG, Acción;18;PC, PS4, PS5, Xbox;2020;"Embárcate en una nueva historia de la saga Yakuza, forma un equipo de inadaptados y lucha en combates por turnos en este juego de rol y acción."
154;"Demon's Souls";"Bluepoint Games";1-1;Action RPG;18;PS5;2020;"Revive el clásico, enfrenta a temibles enemigos y explora el reino de Boletaria en esta recreación del juego que dio inicio a la serie Souls."
155;"Ori and the Will of the Wisps";"Moon Studios";1-1;Plataformas, Aventura;7;PC, Xbox, Switch;2020;"Acompaña a Ori en una emotiva aventura, explora entornos mágicos y enfrenta desafíos en este juego de plataformas y acción."
156;"Crash Bandicoot 4: It's About Time";"Toys for Bob";1-1;Plataformas;7;PC, PS4, PS5, Xbox, Switch;2020;"Reúne las máscaras cuánticas, viaja en el tiempo y salva el multiverso en esta nueva entrega de la icónica serie de plataformas."
157;"Marvel's Spider-Man: Miles Morales";"Insomniac Games";1-1;Acción-Aventura;16;PS4, PS5;2020;"Asume el papel de Miles Morales, utiliza sus habilidades únicas y protege Nueva York en este juego de superhéroes basado en el universo de Marvel."
158;"Hades";"Supergiant Games";1-1;Roguelike, Acción;12;PC, PS4, Xbox, Switch;2020;"Desafía al inframundo, mejora tus habilidades y descubre la historia de Zagreus en este roguelike de acción con un estilo visual impresionante."
159;"Spiritfarer";"Thunder Lotus Games";1-2;Aventura, Indie;12;PC, PS4, Xbox, Switch;2020;"Guía a las almas hacia el más allá, construye y mejora tu barco, y experimenta una conmovedora historia en este juego de gestión y aventuras."
160;"Tony Hawk's Pro Skater 1 + 2";"Vicarious Visions";1-2;Deportes;12;PC, PS4, Xbox, Switch;2020;"Revive la nostalgia, realiza trucos icónicos y compite en desafíos en esta remasterización de los clásicos juegos de skate."
161;"Hitman 2";"IO Interactive";1-1;Acción, Sigilo;18;PC, PS4, Xbox;2018;"Continúa la historia del Agente 47, viaja por el mundo y ejecuta asesinatos en este juego de sigilo y acción."
162;"Monster Hunter World";"Capcom";1-4;Acción, RPG;16;PC, PS4, Xbox;2018;"Caza monstruos épicos, forja equipo y explora un mundo lleno de criaturas en este juego de acción y rol."
163;"Sekiro: Shadows Die Twice";"FromSoftware";1-1;Action RPG, Sigilo;18;PC, PS4, Xbox;2019;"Embárcate en una historia samurái, enfrenta a enemigos desafiantes y descubre los secretos del Japón feudal en este juego de acción y sigilo."
164;"Luigi's Mansion 3";"Next Level Games";1-8;Aventura, Plataformas;7;Switch;2019;"Acompaña a Luigi en la búsqueda de sus amigos, utiliza el Poltergust G-00 y explora el aterrador Hotel Overlook en este juego de aventuras y fantasmas."
165;"Control";"Remedy Entertainment";1-1;Acción-Aventura;16;PC, PS4, Xbox;2019;"Adéntrate en el edificio Federal Bureau of Control, utiliza poderes paranormales y desentraña misterios en este juego de acción y aventuras."
166;"Disco Elysium";"ZA/UM";1-1;RPG;18;PC, PS4, Xbox, Switch;2019;"Sumérgete en una historia detectivesca, toma decisiones morales y resuelve un caso en este innovador juego de rol isométrico."
167;"Star Wars: Squadrons";"Motive Studios";1-10;Simulación, Espacial;12;PC, PS4, Xbox;2020;"Participa en combates espaciales épicos, elige tu bando y pilotea naves icónicas en este juego de simulación ambientado en el universo de Star Wars."
168;"Crusader Kings III";"Paradox Development Studio";1-32;Estrategia, Simulación;12;PC;2020;"Dirige tu dinastía, gestiona relaciones y expande tu reino en este juego de estrategia y simulación de la Edad Media."
169;"Watch Dogs: Legion";"Ubisoft Toronto";1-4;Acción-Aventura;18;PC, PS4, Xbox;2020;"Forma un equipo de hackers, libera a Londres y lucha contra una corrupta megacorporación en este juego de mundo abierto y acción."
170;"Assassin's Creed Odyssey";"Ubisoft Quebec";1-1;Acción-Aventura, RPG;18;PC, PS4, Xbox;2018;"Embárcate en una odisea en la Antigua Grecia, toma decisiones que afectan tu destino y descubre los secretos de los Isu en este juego de acción y aventuras."
171;"Celeste";"Maddy Makes Games";1-1;Plataformas, Indie;7;PC, PS4, Xbox, Switch;2018;"Acompaña a Madeline en su ascenso al Monte Celeste, enfrenta desafíos difíciles y descubre una historia conmovedora en este juego de plataformas indie."
172;"Far Cry 5";"Ubisoft Montreal";1-2;Acción-Aventura, Shooter;18;PC, PS4, Xbox;2018;"Enfréntate al culto del Proyecto en Hope County, Montana, y lidera la resistencia en este juego de acción y mundo abierto."
173;"No Man's Sky";"Hello Games";1-32;Aventura, Exploración;7;PC, PS4, Xbox;2016;"Explora un universo infinito, descubre planetas únicos y comercia con otras especies en este juego de exploración espacial."
174;"Streets of Rage 4";"Dotemu";1-4;Brawler;12;PC, PS4, Xbox, Switch;2020;"Recorre las calles, lucha contra criminales y restaura la paz en este juego de acción y peleas callejeras que rinde homenaje a la clásica serie."
175;"Axiom Verge";"Thomas Happ Games";1-1;Acción, Aventura;12;PC, PS4, Xbox, Switch;2015;"Explora un mundo alienígena, descubre secretos y enfrenta a criaturas en este juego de acción y aventuras inspirado en los clásicos de 8 y 16 bits."
176;"Terraria";"Re-Logic";1-8;Aventura, Sandbox;12;PC, PS4, Xbox, Switch;2011;"Cava, construye y explora en este juego de sandbox en 2D con un mundo generado aleatoriamente y una gran variedad de criaturas y objetos."
177;"Fallout 4";"Bethesda Game Studios";1-1;RPG, Mundo Abierto;18;PC, PS4, Xbox;2015;"Embárcate en un viaje en el yermo postapocalíptico, toma decisiones que afectan la historia y construye tu propio refugio en este juego de rol y acción."
178;"Rocket League";"Psyonix";1-4;Deportes, Coches;3;PC, PS4, Xbox, Switch;2015;"Combina fútbol con coches, realiza acrobacias y compite en emocionantes partidas en este juego de deportes único."
179;"Undertale";"Toby Fox";1-1;RPG, Indie;12;PC, PS4, Switch;2015;"Embárcate en un viaje lleno de decisiones, entabla amistades con monstruos y descubre una narrativa única en este juego indie de rol."
180;"The Elder Scrolls V: Skyrim";"Bethesda Game Studios";1-1;RPG, Mundo Abierto;18;PC, PS4, Xbox;2011;"Explora la provincia de Skyrim, elige tu destino y enfrenta dragones en este juego de rol de mundo abierto épico."
180;"Galactic Nexus";"Quantum Dynamics";1-4;Exploración Espacial, Estrategia;12;PC, PS5, Xbox Series X/S;2023;"Construye tu imperio galáctico, explora sistemas estelares y lidera batallas épicas en este juego de estrategia y exploración espacial."
181;"Chrono Quest";"TimeForge Games";1-1;Aventura, Viaje en el Tiempo;16;PC, PS5, Xbox Series X/S;2022;"Viaja a través de las eras, resuelve paradojas temporales y descubre los secretos ocultos en este juego de aventuras y viaje en el tiempo."
182;"Neon Rhythms";"Synthwave Studios";1-2;Música, Plataformas;7;PC, PS4, Switch;2023;"Salta al ritmo de la música, supera obstáculos neón y desbloquea nuevas pistas en este juego de plataformas y música electrónica."
183;"Mystic Realms Online";"Enchanted Realms";1-10;MMORPG, Fantasía;16;PC;2022;"Explora un mundo mágico, elige tu clase y forma alianzas en este MMORPG lleno de criaturas fantásticas y misterios por descubrir."
184;"Skybound Skirmish";"Aero Dynamics";1-4;Combate Aéreo, Acción;12;PC, PS5, Xbox Series X/S;2023;"Pilotea cazas avanzados, participa en intensos combates aéreos y domina los cielos en este juego de combate aéreo y estrategia."
185;"Quantum Shift";"Nebula Innovations";1-1;FPS, Ciencia Ficción;18;PC, PS5, Xbox Series X/S;2022;"Experimenta la manipulación cuántica, enfrenta amenazas extraterrestres y desentraña conspiraciones en este juego de disparos y ciencia ficción."
186;"Virtual Reality Odyssey";"VR Dynamics";1-1;Aventura, Realidad Virtual;18;PC, PS5, Xbox Series X/S;2022;"Sumérgete en mundos virtuales, resuelve desafíos y descubre la verdad detrás de la realidad en este juego de aventuras y realidad virtual."
187;"Enigma Codebreakers";"Cipher Studios";1-2;Puzles, Estrategia;7;PC, PS5, Xbox Series X/S;2023;"Descifra códigos secretos, desbloquea misterios y compite en desafíos estratégicos en este juego de puzles y estrategia."
188;"Shadow Veil";"Eclipse Entertainment";1-1;Sigilo, Acción;16;PC, PS5, Xbox Series X/S;2022;"Conviértete en un maestro del sigilo, explora entornos oscuros y desmantela conspiraciones en este juego de acción y sigilo."
189;"Reactor Tycoon";"Nuclear Dynamics";1-1;Simulación, Estrategia;7;PC;2023;"Construye y gestiona tu propia planta nuclear, toma decisiones estratégicas y asegura un suministro de energía estable en este juego de simulación y estrategia."
